player_AVG,player_OBP,player_SLG,player_PA,ERA,WHIP,SO9,SO/W,HR,BB,H,IP,BAbip,is_hit,stand_R,p_throws_R,description_encoded
0.285,0.342,0.492,735,3.8,1.107,8.8,3.95,23,42,147,170.2,0.271,1,0,1,0
0.285,0.342,0.492,735,3.8,1.107,8.8,3.95,23,42,147,170.2,0.271,1,0,1,0
0.285,0.342,0.492,735,3.0,1.667,8.5,1.55,1,11,19,18.0,0.34,0,0,0,4
0.285,0.342,0.492,735,3.8,1.107,8.8,3.95,23,42,147,170.2,0.271,0,0,1,0
0.285,0.342,0.492,735,4.78,1.329,7.5,1.83,4,12,23,26.1,0.264,1,0,1,0
0.285,0.342,0.492,735,3.54,1.009,8.3,5.38,10,13,64,76.1,0.252,0,0,0,0
0.285,0.342,0.492,735,4.32,1.32,12.0,2.78,7,32,56,66.2,0.32,1,0,1,0
0.285,0.342,0.492,735,3.86,1.225,9.4,4.25,1,4,16,16.1,0.319,0,0,1,2
0.285,0.342,0.492,735,1.17,0.827,12.4,3.04,3,28,23,61.2,0.17,0,0,1,2
0.285,0.342,0.492,735,3.54,1.009,8.3,5.38,10,13,64,76.1,0.252,0,0,0,2
0.285,0.342,0.492,735,3.8,1.321,5.8,1.79,13,39,105,109.0,0.275,1,0,1,0
0.285,0.342,0.492,735,3.8,1.321,5.8,1.79,13,39,105,109.0,0.275,0,0,1,0
0.285,0.342,0.492,735,3.71,1.512,8.2,1.48,6,27,39,43.2,0.28,1,0,0,0
0.285,0.342,0.492,735,5.31,1.442,8.6,2.28,18,40,97,95.0,0.297,0,0,1,0
0.285,0.342,0.492,735,3.8,1.321,5.8,1.79,13,39,105,109.0,0.275,0,0,1,0
0.285,0.342,0.492,735,3.53,1.068,8.4,7.78,22,23,181,191.0,0.292,1,0,1,0
0.285,0.342,0.492,735,3.53,1.068,8.4,7.78,22,23,181,191.0,0.292,0,0,1,0
0.285,0.342,0.492,735,1.94,1.176,10.2,3.62,5,13,36,41.2,0.298,1,0,1,0
0.285,0.342,0.492,735,3.49,1.371,8.8,2.11,3,18,35,38.2,0.305,0,0,0,4
0.285,0.342,0.492,735,3.53,1.068,8.4,7.78,22,23,181,191.0,0.292,0,0,1,0
0.285,0.342,0.492,735,3.64,1.169,9.0,3.72,25,47,158,175.1,0.286,0,0,1,0
0.285,0.342,0.492,735,3.64,1.169,9.0,3.72,25,47,158,175.1,0.286,0,0,1,0
0.285,0.342,0.492,735,3.46,0.897,11.3,4.08,6,12,23,39.0,0.205,0,0,1,0
0.285,0.342,0.492,735,3.49,1.371,8.8,2.11,3,18,35,38.2,0.305,1,0,0,0
0.285,0.342,0.492,735,3.64,1.169,9.0,3.72,25,47,158,175.1,0.286,0,0,1,2
0.285,0.342,0.492,735,3.23,0.887,9.5,5.95,26,37,148,208.2,0.237,0,0,1,0
0.285,0.342,0.492,735,3.61,1.134,9.6,4.05,8,19,63,72.1,0.302,1,0,1,0
0.285,0.342,0.492,735,3.61,1.134,9.6,4.05,8,19,63,72.1,0.302,1,0,1,0
0.285,0.342,0.492,735,3.23,0.887,9.5,5.95,26,37,148,208.2,0.237,0,0,1,2
0.285,0.342,0.492,735,4.0,1.213,10.3,3.7,33,57,167,184.2,0.289,0,0,0,0
0.285,0.342,0.492,735,4.0,1.213,10.3,3.7,33,57,167,184.2,0.289,0,0,0,2
0.285,0.342,0.492,735,4.61,1.482,11.0,2.68,6,25,56,54.2,0.34,0,0,0,0
0.285,0.342,0.492,735,2.35,1.07,12.4,2.52,5,21,20,38.1,0.203,0,0,1,2
0.285,0.342,0.492,735,4.0,1.213,10.3,3.7,33,57,167,184.2,0.289,0,0,0,0
0.285,0.342,0.492,735,4.31,1.468,6.6,1.88,19,60,167,154.2,0.312,1,0,1,0
0.285,0.342,0.492,735,4.31,1.468,6.6,1.88,19,60,167,154.2,0.312,1,0,1,0
0.285,0.342,0.492,735,3.63,1.261,9.6,2.83,6,30,70,79.1,0.303,0,0,1,4
0.285,0.342,0.492,735,2.84,1.249,9.4,3.04,4,24,63,69.2,0.311,0,0,1,2
0.285,0.342,0.492,735,4.31,1.468,6.6,1.88,19,60,167,154.2,0.312,0,0,1,0
0.285,0.342,0.492,735,3.34,1.429,4.1,1.68,2,19,81,70.0,0.319,0,0,0,0
0.285,0.342,0.492,735,3.77,1.153,8.4,4.15,24,39,162,174.1,0.288,1,0,0,0
